site_index,method,vs_mae_km_s,vs_mae_0_40km_km_s,vs_mae_40_120km_km_s,phase_forward_rms_km_s,group_forward_rms_km_s,input_protocol
9680,DispFormer phase-only,0.1322261393070221,0.25050777196884155,0.07234606891870499,0.025712698698043823,0.08058330416679382,phase only
9827,DispFormer phase-only,0.14091423153877258,0.1863144338130951,0.11793039739131927,0.046056605875492096,0.126030832529068,phase only
9858,DispFormer phase-only,0.1623612344264984,0.12208772450685501,0.18274971842765808,0.08371711522340775,0.04278237372636795,phase only
9868,DispFormer phase-only,0.2005062848329544,0.15272435545921326,0.22469587624073029,0.07771146297454834,0.07107724994421005,phase only
9938,DispFormer phase-only,0.1116383820772171,0.17208276689052582,0.08103841543197632,0.0325448103249073,0.11915181577205658,phase only
9951,DispFormer phase-only,0.11771772801876068,0.12397948652505875,0.1145477145910263,0.0514383539557457,0.044480033218860626,phase only
9952,DispFormer phase-only,0.09758836030960083,0.13579995930194855,0.07824374735355377,0.03125138580799103,0.06707485765218735,phase only
9986,DispFormer phase-only,0.11322656273841858,0.16892364621162415,0.08502991497516632,0.03631624951958656,0.0731147900223732,phase only
10074,DispFormer phase-only,0.22684548795223236,0.16035734117031097,0.26050513982772827,0.061056774109601974,0.1192798912525177,phase only
10141,DispFormer phase-only,0.1760454624891281,0.15646615624427795,0.18595749139785767,0.06731174886226654,0.05255623906850815,phase only
10356,DispFormer phase-only,0.05438227578997612,0.1199633777141571,0.021181847900152206,0.038782719522714615,0.06770672649145126,phase only
10553,DispFormer phase-only,0.19136257469654083,0.18430081009864807,0.1949375867843628,0.06001373752951622,0.1607809215784073,phase only
10568,DispFormer phase-only,0.09554104506969452,0.11310335993766785,0.08665013313293457,0.02060418762266636,0.06553615629673004,phase only
10726,DispFormer phase-only,0.08835538476705551,0.09235873073339462,0.08632870018482208,0.03417057543992996,0.05202494561672211,phase only
10755,DispFormer phase-only,0.08947227150201797,0.1405419409275055,0.0636182427406311,0.03038085252046585,0.09396049380302429,phase only
10761,DispFormer phase-only,0.13903780281543732,0.20837430655956268,0.10393618047237396,0.05899079516530037,0.13970880210399628,phase only
10823,DispFormer phase-only,0.1143130511045456,0.19762594997882843,0.07213590294122696,0.06185505911707878,0.1357898861169815,phase only
10955,DispFormer phase-only,0.1218508705496788,0.12404029816389084,0.12074246257543564,0.06407365202903748,0.09874648600816727,phase only
10994,DispFormer phase-only,0.11890751868486404,0.060670606791973114,0.14838996529579163,0.04473263770341873,0.10608113557100296,phase only
11107,DispFormer phase-only,0.1258838027715683,0.08842237293720245,0.14484865963459015,0.023297006264328957,0.049034856259822845,phase only
11157,DispFormer phase-only,0.10937175154685974,0.12298640608787537,0.10247933864593506,0.06514134258031845,0.0638074278831482,phase only
11290,DispFormer phase-only,0.1354876458644867,0.13005341589450836,0.13823871314525604,0.06643960624933243,0.06071637198328972,phase only
11459,DispFormer phase-only,0.0887642353773117,0.110004723072052,0.07801124453544617,0.0313873253762722,0.08683884143829346,phase only
11544,DispFormer phase-only,0.08851046115159988,0.14402662217617035,0.06040539592504501,0.035514798015356064,0.1127091571688652,phase only
11593,DispFormer phase-only,0.07179238647222519,0.0651312917470932,0.0751645565032959,0.03274361416697502,0.05973800644278526,phase only
11649,DispFormer phase-only,0.10763277858495712,0.1643805056810379,0.07890424877405167,0.06033887714147568,0.12250643223524094,phase only
11809,DispFormer phase-only,0.05889390781521797,0.11434901505708694,0.030819768086075783,0.04323117062449455,0.0578579381108284,phase only
12181,DispFormer phase-only,0.08731906116008759,0.13146011531352997,0.0649726539850235,0.05051556974649429,0.07766245305538177,phase only
12657,DispFormer phase-only,0.1054813489317894,0.08503329008817673,0.11583316326141357,0.0382247120141983,0.059133224189281464,phase only
2,DispFormer phase+group,0.12395530939102173,0.15941908955574036,0.10600177943706512,0.04124491661787033,0.03657754883170128,phase + group
7,DispFormer phase+group,0.07126320153474808,0.12354453653097153,0.04479576274752617,0.03357010707259178,0.05634044110774994,phase + group
153,DispFormer phase+group,0.20544886589050293,0.08787866681814194,0.26496878266334534,0.0179485771805048,0.06414695084095001,phase + group
296,DispFormer phase+group,0.15286162495613098,0.17891152203083038,0.1396738737821579,0.05064576864242554,0.05864500254392624,phase + group
331,DispFormer phase+group,0.11370176821947098,0.09753745049238205,0.12188496440649033,0.04566315934062004,0.053679171949625015,phase + group
493,DispFormer phase+group,0.09117723256349564,0.08658694475889206,0.09350106865167618,0.01621881313621998,0.047419190406799316,phase + group
658,DispFormer phase+group,0.06320232897996902,0.09640340507030487,0.04639428108930588,0.02267669327557087,0.049834899604320526,phase + group
786,DispFormer phase+group,0.17452146112918854,0.1571483165025711,0.18331663310527802,0.038464564830064774,0.04884171485900879,phase + group
992,DispFormer phase+group,0.11203460395336151,0.11090909689664841,0.11260439455509186,0.03157751262187958,0.060588959604501724,phase + group
1009,DispFormer phase+group,0.12424714118242264,0.1734738051891327,0.09932614862918854,0.03251343593001366,0.038532983511686325,phase + group
1040,DispFormer phase+group,0.13892339169979095,0.16501161456108093,0.1257162243127823,0.020710380747914314,0.04980909079313278,phase + group
1087,DispFormer phase+group,0.1495518684387207,0.11217451840639114,0.16847415268421173,0.02720973826944828,0.04605412110686302,phase + group
1148,DispFormer phase+group,0.1717360019683838,0.1898289918899536,0.16257643699645996,0.04647287726402283,0.09260718524456024,phase + group
1209,DispFormer phase+group,0.09297700971364975,0.1302933692932129,0.07408559322357178,0.0325777642428875,0.09650083631277084,phase + group
1254,DispFormer phase+group,0.09011679887771606,0.13078688085079193,0.06952757388353348,0.019395945593714714,0.0459279827773571,phase + group
1319,DispFormer phase+group,0.17047107219696045,0.18430191278457642,0.16346918046474457,0.05832028388977051,0.0658440887928009,phase + group
1337,DispFormer phase+group,0.0874365046620369,0.08640576899051666,0.08795829862356186,0.033626534044742584,0.037048909813165665,phase + group
1429,DispFormer phase+group,0.13245873153209686,0.1422751247882843,0.12748917937278748,0.03349225968122482,0.049303360283374786,phase + group
1439,DispFormer phase+group,0.116561658680439,0.16164787113666534,0.09373676776885986,0.01920495182275772,0.03950485214591026,phase + group
1749,DispFormer phase+group,0.04808248579502106,0.0456291027367115,0.049324505031108856,0.03376896679401398,0.05678503215312958,phase + group
2011,DispFormer phase+group,0.06731938570737839,0.1122710257768631,0.04456262290477753,0.036618005484342575,0.040743112564086914,phase + group
2036,DispFormer phase+group,0.12604807317256927,0.14905869960784912,0.11439895629882812,0.018231315538287163,0.04617485776543617,phase + group
2044,DispFormer phase+group,0.10749804973602295,0.11831040680408478,0.10202427953481674,0.02330000326037407,0.047489069402217865,phase + group
2074,DispFormer phase+group,0.10625270754098892,0.08865121006965637,0.11516346782445908,0.017913149669766426,0.05826691538095474,phase + group
