subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
16,109.250000,41.837500,2.0,2.69905,2.34329,2.97387,0.38086,39
16,109.250000,41.837500,5.0,2.81953,2.58028,3.10236,0.28371,39
16,109.250000,41.837500,10.0,3.04840,2.74057,3.37465,0.30686,39
16,109.250000,41.837500,20.0,3.69050,3.40764,4.05343,0.31166,39
16,109.250000,41.837500,40.0,2.99300,2.88705,3.21933,0.16727,39
16,109.250000,41.837500,60.0,3.26123,3.23180,3.30671,0.03911,39
16,109.250000,41.837500,80.0,3.52438,3.50428,3.55020,0.02520,39
16,109.250000,41.837500,100.0,3.55504,3.53629,3.57830,0.02480,39
17,109.250000,41.962500,2.0,2.64061,2.27182,3.05521,0.42068,39
17,109.250000,41.962500,5.0,2.85373,2.58946,3.13529,0.32099,39
17,109.250000,41.962500,10.0,3.24936,2.99899,3.55758,0.31647,39
17,109.250000,41.962500,20.0,3.74311,3.49525,3.98131,0.24542,39
17,109.250000,41.962500,40.0,2.99461,2.91547,3.19068,0.16271,39
17,109.250000,41.962500,60.0,3.27710,3.22822,3.32480,0.04282,39
17,109.250000,41.962500,80.0,3.52098,3.50473,3.54358,0.01772,39
17,109.250000,41.962500,100.0,3.54716,3.53062,3.56752,0.02365,39
18,109.250000,42.087500,2.0,2.64026,2.30874,3.27442,0.46828,39
18,109.250000,42.087500,5.0,2.98100,2.64362,3.36048,0.33962,39
18,109.250000,42.087500,10.0,3.32108,2.94411,3.62728,0.36165,39
18,109.250000,42.087500,20.0,3.77037,3.50726,4.13815,0.30633,39
18,109.250000,42.087500,40.0,2.97236,2.87148,3.12550,0.13181,39
18,109.250000,42.087500,60.0,3.25877,3.22766,3.30883,0.05360,39
18,109.250000,42.087500,80.0,3.51743,3.49906,3.53864,0.02210,39
18,109.250000,42.087500,100.0,3.56930,3.54550,3.58116,0.01817,39
19,109.250000,42.212500,2.0,2.74241,2.34074,3.32222,0.43768,39
