disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
nan,DI-Strong,0.5103734439834025,5077,ok,0.11221212148666382
nan,DI-Weak,0.9626556016597511,5077,ok,0.1152568906545639
0.018102921590065185,QEDisp m0 multistart,nan,5097,ok,0.1240275487490094
nan,DI-Strong,0.6556016597510373,5097,ok,0.10613537579774857
nan,DI-Weak,0.921161825726141,5097,ok,0.13780087232589722
0.0098621088304105,QEDisp m0 multistart,nan,5111,ok,0.10012267923482905
nan,DI-Strong,0.7468879668049793,5111,ok,0.09128303080797195
nan,DI-Weak,1.0,5111,ok,0.0925113782286644
0.007203230361536666,QEDisp m0 multistart,nan,5212,ok,0.10771183433910736
nan,DI-Strong,0.8340248962655602,5212,ok,0.0811203122138977
nan,DI-Weak,0.8755186721991701,5212,ok,0.11774185299873352
0.010218251083926799,QEDisp m0 multistart,nan,5564,ok,0.07157723997285854
nan,DI-Strong,0.6141078838174274,5564,ok,0.08397940546274185
nan,DI-Weak,0.995850622406639,5564,ok,0.06910838186740875
0.012776609975186988,QEDisp m0 multistart,nan,5580,ok,0.05166241572681539
nan,DI-Strong,0.7178423236514523,5580,ok,0.10549754649400711
nan,DI-Weak,0.8340248962655602,5580,ok,0.15919992327690125
0.007310039862026516,QEDisp m0 multistart,nan,5604,ok,0.08245919975454863
nan,DI-Strong,0.49377593360995853,5604,ok,0.11919677257537842
nan,DI-Weak,0.8755186721991701,5604,ok,0.11862866580486298
0.008601048147173522,QEDisp m0 multistart,nan,5762,ok,0.10221177663867603
nan,DI-Strong,0.8132780082987552,5762,ok,0.07989593595266342
nan,DI-Weak,1.0,5762,ok,0.067814901471138
0.006775118916735536,QEDisp m0 multistart,nan,6047,ok,0.10857673210119814
nan,DI-Strong,0.5477178423236515,6047,ok,0.14857029914855957
nan,DI-Weak,0.6058091286307054,6047,ok,0.17989300191402435
0.009762532540103943,QEDisp m0 multistart,nan,6196,ok,0.13230491303995
nan,DI-Strong,0.6265560165975104,6196,ok,0.13368047773838043
nan,DI-Weak,0.6514522821576764,6196,ok,0.1542743593454361
0.014242196099804956,QEDisp m0 multistart,nan,6663,ok,0.09159349494344576
nan,DI-Strong,0.4854771784232365,6663,ok,0.1413361132144928
nan,DI-Weak,0.9294605809128631,6663,ok,0.13189318776130676
0.008961553535351715,QEDisp m0 multistart,nan,6679,ok,0.07041216800702213
nan,DI-Strong,0.8547717842323651,6679,ok,0.07275322824716568
nan,DI-Weak,0.9128630705394191,6679,ok,0.12863130867481232
0.0142035517758774,QEDisp m0 multistart,nan,6771,ok,0.09980049845807852
nan,DI-Strong,0.8008298755186722,6771,ok,0.09177814424037933
nan,DI-Weak,0.966804979253112,6771,ok,0.11454199254512787
