disp_best_mae_km_s,disp_best_matched_points,disp_best_rms_km_s,fitness_min,lambda_reg,lat,lon,niter_median,num_init_requested,num_pred,num_valid,runtime_s,site_index,status,vs_mean_mae_km_s,vs_median_bias_km_s,vs_median_mae_km_s,vs_width,z_sample_max_km
0.00866282485623641,24,0.010218251083926799,0.00012059775339488613,0.01,31.0,113.19999694824219,12.0,64,57,57,1.153014898300171,5564,ok,0.06662380519930865,0.011359034521948986,0.07157723997285854,1.2,120.0
0.010777594270480398,24,0.012776609975186988,0.00017235134622702036,0.01,37.400001525878906,113.19999694824219,9.0,64,53,53,1.049424171447754,5580,ok,0.06402830386855322,-0.004889712532098983,0.05166241572681539,1.2,120.0
0.006302383196503854,24,0.007310039862026516,9.52111559159987e-05,0.01,43.79999923706055,113.19999694824219,11.0,64,52,52,1.0990278720855713,5604,ok,0.07228576233451425,-0.004542327776910252,0.08245919975454863,1.2,120.0
0.006996157151739939,24,0.008601048147173522,0.00013897337490260261,0.01,29.399999618530273,114.0,11.0,64,59,59,1.027113914489746,5762,ok,0.1011688493169542,0.02817988139647773,0.10221177663867603,1.2,120.0
0.005530374796694774,17,0.006775118916735536,6.1023599199281476e-05,0.01,41.400001525878906,115.0,11.0,64,53,53,1.1135239601135254,6047,ok,0.12248378959046599,0.027250997163105008,0.10857673210119814,1.2,120.0
0.007145505805350005,17,0.009762532540103943,0.0001996568891474469,0.01,38.400001525878906,115.5999984741211,16.0,64,61,61,1.5905652046203613,6196,ok,0.13129032618191763,0.012014030799919377,0.13230491303995,1.2,120.0
0.011604281310515219,24,0.014242196099804956,0.0003125801346803219,0.01,28.200000762939453,117.5999984741211,13.0,64,51,51,1.257694959640503,6663,ok,0.08650880156206492,-0.029865964522914058,0.09159349494344576,1.2,120.0
0.006127859081291061,24,0.008961553535351715,0.00010614069673853003,0.01,34.599998474121094,117.5999984741211,11.0,64,51,51,1.19185209274292,6679,ok,0.07700377245206717,0.027571320043629326,0.07041216800702213,1.2,120.0
0.01142117593387502,24,0.0142035517758774,0.00023925744649238846,0.01,36.20000076293945,118.0,11.0,64,51,51,1.0115089416503906,6771,ok,0.11619510919276244,0.02708341027555571,0.09980049845807852,1.2,120.0
0.0074072690904092115,24,0.008643597318609024,9.069907362350057e-05,0.01,44.599998474121094,118.80000305175781,10.0,64,53,53,1.1319918632507324,6956,ok,0.057231896529276495,0.0034297730425455176,0.03953865552602196,1.2,120.0
0.011138512741812268,24,0.01321388294736073,0.00020964847230797715,0.01,32.20000076293945,120.4000015258789,11.0,64,57,57,1.1309008598327637,7220,ok,0.08216002388356636,-7.814118258972365e-05,0.07108462218343117,1.2,120.0
0.010367251199015241,22,0.012545024596525838,0.0002892702114330192,0.01,36.20000076293945,120.80000305175781,11.0,64,54,54,0.975182056427002,7308,ok,0.130148107000852,0.034373436313564334,0.1326909845227193,1.2,120.0
0.0023509017213560655,24,0.0028896658828176064,1.5466220506897925e-05,0.01,22.600000381469727,121.19999694824219,10.0,64,52,52,1.0670747756958008,7350,ok,0.10516000494791852,-0.0877194621183381,0.1191459628219028,1.2,120.0
0.0031509845431701546,20,0.0037188376682378197,4.896344481694345e-05,0.01,51.400001525878906,121.19999694824219,11.0,64,54,54,0.8887391090393066,7422,ok,0.08288595678425106,0.024518012651482478,0.07680083057915306,1.2,120.0
0.010210183137253673,24,0.012643791093637962,0.00018867456492984312,0.01,31.0,121.5999984741211,11.0,64,51,51,0.9914031028747559,7447,ok,0.09471340206677928,0.03611904877328214,0.08295523486393579,1.2,120.0
0.009544710457323021,21,0.011294872019112103,0.00022796138125972246,0.01,33.79999923706055,121.5999984741211,13.0,64,55,55,1.2957000732421875,7454,ok,0.11096183482049696,-0.06805756583930267,0.12296444483092268,1.2,120.0
0.0036240131337243924,23,0.004887839468172627,4.676275327724952e-05,0.01,48.599998474121094,122.4000015258789,12.0,64,59,59,1.0551929473876953,7640,ok,0.06301838690237689,0.013483754945955443,0.05802356608696585,1.2,120.0
0.016911327344925668,21,0.022793898611650498,0.0007693990676047899,0.01,35.400001525878906,122.80000305175781,14.0,64,56,56,1.261497974395752,7681,ok,0.07938655163563173,-0.031465621388122894,0.09009230778000993,1.2,120.0
0.009196190360554683,18,0.010845246610248814,0.00027361703709706086,0.01,30.200000762939453,123.5999984741211,12.0,64,56,56,0.8106729984283447,7794,ok,0.14692908767748045,-0.01871361647441213,0.1579792628059473,1.2,120.0
0.008833445016723392,21,0.011556799570984112,0.00021232637909715575,0.01,32.599998474121094,124.0,14.0,64,55,55,1.0902392864227295,7861,ok,0.14042569082248607,-0.01745975610706176,0.13475884378721162,1.2,120.0
0.01342460679658542,21,0.018787554754957376,0.0004132617291903718,0.01,36.599998474121094,124.0,13.0,64,51,51,1.177297830581665,7871,ok,0.14237748006333417,-0.05139116063587157,0.14377198313717482,1.2,120.0
0.010559393938971606,20,0.014408093725020497,0.00026350047813361154,0.01,35.0,125.5999984741211,11.0,64,54,54,0.9735898971557617,8105,ok,0.1111486197466028,-0.001565620113180802,0.10908354603093802,1.2,120.0
0.007147736358386059,20,0.010154539850178479,0.0001903499805991303,0.01,38.20000076293945,126.4000015258789,13.0,64,53,53,1.054408311843872,8228,ok,0.08967842376002803,-0.007801839051546476,0.09298709437909362,1.2,120.0
0.007526117404717529,17,0.008678800485115195,0.00012828799599330344,0.01,31.399999618530273,126.80000305175781,11.0,64,54,54,0.7892711162567139,8270,ok,0.10583501091393104,-0.039087513217114206,0.11437905837740972,1.2,120.0
0.010889661278174109,24,0.012365713361240913,0.0001993179372333958,0.01,46.599998474121094,126.80000305175781,13.0,64,54,54,1.2566051483154297,8308,ok,0.1200519214848212,0.053894688822298045,0.10862453910745837,1.2,120.0
0.0054304914034198236,20,0.00785792666814754,0.0001326187670367659,0.01,49.0,126.80000305175781,12.0,64,51,51,0.9169690608978271,8314,ok,0.0950338712970664,-0.025752130377656973,0.105018261744052,1.2,120.0
0.005143119498246264,21,0.0059205307648864496,6.596689029979806e-05,0.01,41.400001525878906,128.0,12.0,64,53,53,1.0497090816497803,8467,ok,0.10276857420621979,-0.09216062564456172,0.10855238672531073,1.2,120.0
0.008640982827236096,24,0.01071016974778639,0.00018216250349428468,0.01,43.79999923706055,128.39999389648438,11.0,64,55,55,1.145014762878418,8523,ok,0.06807372807828327,-0.016633573572230016,0.06853441768011237,1.2,120.0
0.007299422028855418,24,0.008559985871488384,0.00011796927289513967,0.01,43.400001525878906,128.8000030517578,11.0,64,53,53,1.0364079475402832,8568,ok,0.10606512810173067,0.03289926151662568,0.10078549527823955,1.2,120.0
0.0039413682375691395,21,0.004739944861664812,8.744160864947838e-05,0.01,48.599998474121094,129.1999969482422,11.0,64,53,53,0.9562530517578125,8624,ok,0.1398627188076864,0.032219815836867505,0.1282202178941008,1.2,120.0
0.003879196356838338,16,0.004451149509376854,3.4439252681707575e-05,0.01,32.20000076293945,130.0,11.0,64,57,57,0.6092720031738281,8665,ok,0.0996251301113144,-0.01661867810293268,0.10891166502294314,1.2,120.0
0.0031602259786221777,20,0.004122697152482417,5.466037182958143e-05,0.01,47.0,132.0,12.0,64,51,51,0.9467711448669434,8782,ok,0.07353428837666375,0.03256779582664045,0.06932868337466033,1.2,120.0
0.00884920631003989,21,0.011232113359202383,0.0001761763546510117,0.01,38.599998474121094,69.5999984741211,13.0,64,51,51,1.6154580116271973,8848,ok,0.12610030119111693,-0.061115659198067336,0.15130474220154122,1.2,120.0
0.007731281040843492,24,0.010234360739346018,0.0001583138440741007,0.01,42.599998474121094,76.0,13.0,64,53,53,1.7628650665283203,9065,ok,0.08930200823050206,-0.026393809891498594,0.09651745482696432,1.2,120.0
0.010117118996384103,24,0.014580777104698869,0.0002407554144133584,0.01,37.400001525878906,77.19999694824219,11.0,64,50,50,1.3804218769073486,9116,ok,0.08521506521505232,-0.019145791610300385,0.09821726093890346,1.2,120.0
0.013054600747463433,24,0.01663372369026091,0.0002960756879612285,0.01,37.79999923706055,78.80000305175781,12.0,64,52,52,1.6973493099212646,9220,ok,0.08422729021369585,-0.07252254011740489,0.09585049355358805,1.2,120.0
0.012428198575052193,24,0.016011552447672422,0.0002819117510916473,0.01,37.79999923706055,80.0,12.0,64,57,57,1.7494893074035645,9314,ok,0.07407384310997507,-0.023156651823119965,0.07992501008682015,1.2,120.0
0.026570868506357925,24,0.035934219233737026,0.0014152482536674302,0.01,32.599998474121094,80.4000015258789,14.0,64,55,55,1.8568708896636963,9335,ok,0.14675589696328378,-0.0751773226313997,0.14156115177592307,1.2,120.0
0.01268916710376585,24,0.01552432745139325,0.0003614951216003609,0.01,36.20000076293945,82.0,16.0,64,51,51,1.9959259033203125,9495,ok,0.11236378060223436,-0.10970459118901449,0.12139884255734713,1.2,120.0
0.008586469336022116,23,0.00995926946338945,0.00015347094760361863,0.01,41.400001525878906,82.4000015258789,13.0,64,59,59,1.478592872619629,9549,ok,0.06742409568187943,-0.019669100129653942,0.07533535116995647,1.2,120.0
0.006720668558500716,23,0.00846640187921906,0.00010875866562221843,0.01,39.400001525878906,82.80000305175781,14.0,64,58,58,1.9239940643310547,9586,ok,0.09459980310979774,-0.0012674412076367151,0.09436210508418556,1.2,120.0
0.006687867014930018,23,0.008490180526359812,9.234400695423926e-05,0.01,41.400001525878906,82.80000305175781,13.0,64,56,56,1.6752550601959229,9591,ok,0.05171014757893368,-0.05061177814122714,0.05748097521358533,1.2,120.0
0.007769682135697648,23,0.010358963804257356,0.00013941500147201857,0.01,40.599998474121094,83.5999984741211,15.0,64,55,55,1.9472639560699463,9680,ok,0.07109404137358298,-0.039293278718079895,0.08465557299952928,1.2,120.0
0.013375203653648778,23,0.015732301197882066,0.00029669154270721475,0.01,39.0,84.80000305175781,15.0,64,64,64,2.277285099029541,9827,ok,0.1017135007146251,-0.04829186010536774,0.10472067265520588,1.2,120.0
0.016782391848444267,24,0.023969393204773475,0.0010471414962773412,0.01,30.600000381469727,85.19999694824219,13.0,64,53,53,1.885988712310791,9858,ok,0.17881258460346064,-0.10044965461374629,0.21466527594792728,1.2,120.0
0.01807110062023276,24,0.021462200980858853,0.0007173788401669454,0.01,34.599998474121094,85.19999694824219,15.0,64,57,57,2.1607630252838135,9868,ok,0.1414495431442901,-0.0920163991546382,0.16679851071192126,1.2,120.0
0.007160455938406714,24,0.008638705703330071,9.756317087834189e-05,0.01,41.79999923706055,85.5999984741211,10.5,64,52,52,1.532104253768921,9938,ok,0.06929410042021052,-0.06559179483142266,0.07646806681898789,1.2,120.0
0.019217314334408486,24,0.02216547603587688,0.0005743703958457273,0.01,47.0,85.5999984741211,12.0,64,53,53,1.4043877124786377,9951,ok,0.10649951211267562,0.04797051801313379,0.10874721876705021,1.2,120.0
0.010994444792812438,24,0.014677411416300006,0.00024351542260991232,0.01,47.400001525878906,85.5999984741211,11.0,64,53,53,1.3445448875427246,9952,ok,0.06540471594703542,-0.005042158683296504,0.07194314881762878,1.2,120.0
0.01597298091671757,23,0.022082328648506226,0.0005636664629798622,0.01,39.79999923706055,86.0,16.0,64,63,63,1.9204442501068115,9986,ok,0.06342256801524954,-0.06291002303279886,0.07540587124604314,1.2,120.0
0.014991355176035615,24,0.017213740488659084,0.00039887489175874716,0.01,31.399999618530273,86.80000305175781,17.0,64,54,54,2.370142936706543,10074,ok,0.0710168700137673,-0.001836307441518853,0.08725018563575733,1.2,120.0
0.0167685885540317,24,0.020970633132921503,0.0006069448572614364,0.01,35.79999923706055,87.19999694824219,15.0,64,55,55,2.148993968963623,10141,ok,0.11400600887713426,-0.07709845188627318,0.13815971929093296,1.2,120.0
0.0015177255643737614,23,0.0018326209983192832,6.641965544038892e-06,0.01,50.599998474121094,88.4000015258789,10.0,64,49,49,1.0289087295532227,10356,ok,0.04989797725830881,-0.05568828621265464,0.07039141922467544,1.2,120.0
0.028762666276438198,24,0.03892287268384872,0.001954709608417858,0.01,32.20000076293945,90.0,15.5,64,58,58,2.3174240589141846,10553,ok,0.19937818608464433,-0.07574105335875185,0.23948615799283682,1.2,120.0
0.008764367751091406,24,0.01134679565525433,0.00018587188875593592,0.01,38.20000076293945,90.0,14.0,64,54,54,2.0278778076171875,10568,ok,0.10480505252766456,-0.09212896549259832,0.12133929360078718,1.2,120.0
0.01204497847672692,24,0.014393181252772846,0.00024740939416368577,0.01,27.799999237060547,91.19999694824219,13.0,64,53,53,1.681368112564087,10726,ok,0.07120013891313082,-0.006831758539004235,0.07588865990599326,1.2,120.0
0.011868631169750787,24,0.014251163628030063,0.00021145713577863223,0.01,39.400001525878906,91.19999694824219,10.0,64,54,54,1.4138257503509521,10755,ok,0.0467689982597369,-0.04224871375684681,0.05312452037815524,1.2,120.0
0.008080327832081069,24,0.010550552847233573,0.00015238598700553603,0.01,41.79999923706055,91.19999694824219,12.0,64,51,51,1.1206791400909424,10761,ok,0.10420968632170667,0.08313448430347326,0.10201982736086186,1.2,120.0
0.00808168484089287,24,0.009182479434630197,0.00013230236921281705,0.01,42.20000076293945,91.5999984741211,10.0,64,60,60,1.0364220142364502,10823,ok,0.1392915624933309,0.10942509448548868,0.13369659064891448,1.2,120.0
0.007621520502179365,24,0.009838590950002543,0.00014180218048620918,0.01,45.400001525878906,92.4000015258789,13.0,64,59,59,1.383127212524414,10955,ok,0.11979699822752012,0.05149384610370526,0.11894020997705289,1.2,120.0
